"","Chr","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val","DifExpressed","start_position","end_position","strand","percentage_gene_gc_content","transcript_length","cds_length","Description"
"CDC34","19",2244.49916574939,0.41198709852207,0.112386404208164,3.66580905781967,0.000246557845104791,0.0379824716032132,"UP",531760,542092,"+",64.64,1418,711,"cell division cycle 34, ubiqiutin conjugating enzyme"
"ZNF121","19",1587.97908788466,-0.423615620684149,0.102333398884143,-4.13956367425798,3.47967011574665e-05,0.0125233653892204,"DOWN",9560329,9584504,"-",41.93,7177,1173,"zinc finger protein 121"
"ZNF615","19",1005.14527188618,-0.472195237529486,0.119963925158959,-3.93614361070463,8.28014345426418e-05,0.0220069834708608,"DOWN",51991332,52008230,"-",39.06,4094,2196,"zinc finger protein 615"
"ZNF43","19",980.594268634756,-0.568750954381414,0.155272476553994,-3.66292189706678,0.000249354585647796,0.0381401870552667,"DOWN",21804946,21852125,"-",41.77,5584,2412,"zinc finger protein 43"
"ZNF432","19",657.125323191267,-0.671274596554432,0.159192548862831,-4.21674633234776,2.47852515918295e-05,0.00982714909836048,"DOWN",52031378,52095738,"-",41.15,4637,1959,"zinc finger protein 432"
"C5AR2","19",142.920471308653,-1.15913214416587,0.320779876388028,-3.61348148524048,0.000302112937724279,0.0418566739412676,"DOWN",47332175,47347329,"+",49.37,6720,1014,"complement C5a receptor 2"
"ENSG00000268081","19",48.3432177993594,-1.57570228834944,0.392162212841033,-4.01798601893388,5.86976789657399e-05,0.0171953100766108,"DOWN",21542901,21569265,"-",43.5,1229,NA,"novel transcript, antisense to ZNF429"
"CYP4F3","19",223.283530235453,-1.99987400365069,0.444342062657825,-4.50075329733241,6.77130600195297e-06,0.00481678844009513,"DOWN",15640897,15662825,"+",45.74,2078,NA,"cytochrome P450 family 4 subfamily F member 3"
"SLCO4A1-AS1","20",44.8360361417586,2.53038199624889,0.688830637649932,3.67344577599181,0.000239301476718685,0.0371009327943468,"UP",62663019,62666724,"-",60.96,673,NA,"SLCO4A1 antisense RNA 1"
"HRH3","20",550.794535241824,1.17327969799226,0.267038799948047,4.39366750532329,1.11454238565598e-05,0.00586325147252285,"UP",62214960,62220278,"-",66.1,2692,1338,"histamine receptor H3"
"ZNF285DP","20",100.584634081876,-1.62528302465122,0.359703967779585,-4.51839059403187,6.23114565306517e-06,0.00456686329591013,"DOWN",30545601,30551470,"+",43.12,1754,NA,"zinc finger protein 285D, pseudogene"
"LINC01597","20",122.036559417142,-2.74687790590458,0.585856054960408,-4.68865668050526,2.75004315876182e-06,0.00255817476299282,"DOWN",30278906,30290066,"-",51.43,4613,NA,"long intergenic non-protein coding RNA 1597"
"LRRC3","21",128.353665562949,1.74018115479987,0.446761715393379,3.89509909833617,9.81585898628708e-05,0.0248645951236669,"UP",44455510,44462196,"+",61.15,5845,774,"leucine rich repeat containing 3"
"TMPRSS3","21",81.274065557801,1.73029284379672,0.271927099772919,6.36307615254843,1.97752581234907e-10,9.56568785949491e-07,"UP",42371887,42396091,"-",50.64,2402,1365,"transmembrane serine protease 3"
"AIRE","21",101.261149543714,1.60259497192874,0.370220846266738,4.32875400747719,1.49955312966835e-05,0.00697465230656899,"UP",44285838,44298648,"+",63.87,4306,NA,"autoimmune regulator"
"WDR4","21",499.244666549656,1.09237792316339,0.169850424446908,6.4314112061866,1.26424628461956e-10,8.96194091958972e-07,"UP",42843094,42879568,"-",53.71,1471,1239,"WD repeat domain 4"
"TRPM2","21",3597.06826181143,1.05768508750143,0.165077600154104,6.40719932028363,1.48217000241292e-10,8.96194091958972e-07,"UP",44350163,44443081,"+",54.13,5989,4512,"transient receptor potential cation channel subfamily M member 2"
"PDXK","21",14583.7294093277,1.04888156881804,0.217258532342523,4.82780380364718,1.38046995384651e-06,0.00156346923969293,"UP",43719094,43762307,"+",57.26,2251,264,"pyridoxal kinase"
"GRIK1","21",1475.39031394107,1.0475066458904,0.286618494998826,3.65470709032468,0.000257475763765342,0.0386789367852705,"UP",29536933,29940033,"-",38.04,3140,2718,"glutamate ionotropic receptor kainate type subunit 1"
"RRP1B","21",2509.20134832393,1.0280096309806,0.131683849246511,7.80664931092781,5.87283855769878e-15,1.42040473356503e-10,"UP",43659560,43696079,"+",47.5,5078,2277,"ribosomal RNA processing 1B"
"EVA1C","21",697.406796069367,0.982327564935099,0.246583626739648,3.98375016996679,6.78361878282857e-05,0.0186441595319877,"UP",32412006,32515397,"+",46.51,1689,NA,"eva-1 homolog C"
"C2CD2","21",2674.23616385264,0.955744858118522,0.213854509978882,4.46913585415103,7.85362394100069e-06,0.0049986249641327,"UP",41885112,41954018,"-",47.95,4559,547,"C2 calcium dependent domain containing 2"
"CHAF1B","21",315.034360482004,0.952012656668448,0.262881361018636,3.62145362067324,0.00029295232952448,0.0414347663267782,"UP",36385392,36419015,"+",46.71,4466,1680,"chromatin assembly factor 1 subunit B"
"ENSG00000233783","21",510.789769986157,0.915621204576603,0.194869452956398,4.69863896411447,2.61900960024438e-06,0.00253373464766042,"UP",25928754,25952614,"+",39.7,659,NA,"novel transcript"
"LSS","21",4443.29851379099,0.903840417354292,0.189815583103738,4.7616765840575,1.91991196919098e-06,0.00193479128695221,"UP",46188141,46228824,"-",53.33,2995,2199,"lanosterol synthase"
"PAXBP1","21",2957.79584744176,0.903671971458107,0.207608192197601,4.35277607252605,1.34424434674821e-05,0.00656221695491944,"UP",32733899,32771792,"-",38.11,3892,2754,"PAX3 and PAX7 binding protein 1"
"CFAP410","21",1197.37856516748,0.90307626429662,0.17437702906183,5.17887171925846,2.23231900842845e-07,0.000358791047866046,"UP",44328944,44339402,"-",60.43,2221,771,"cilia and flagella associated protein 410"
"PCNT","21",11110.546719231,0.870478808892543,0.19578869206589,4.44601166547248,8.74791999247881e-06,0.00528942982345231,"UP",46324124,46445769,"+",51.58,4037,1392,"pericentrin"
"SLX9","21",448.490529033601,0.861849267116927,0.157592973947143,5.46883052924679,4.53014632297815e-08,0.000136957648709437,"UP",44940025,44976973,"+",56.69,643,610,"SLX9 ribosome biogenesis factor"
"TRAPPC10","21",4828.60904345332,0.760041547232736,0.144549159122477,5.25801431047241,1.45619190550133e-07,0.000293495478553793,"UP",44012309,44106552,"+",46.02,6986,3780,"trafficking protein particle complex subunit 10"
"MCM3AP","21",6341.01660967367,0.741924247448667,0.0984942693022682,7.53266411035329,4.97153817527855e-14,6.01208111536435e-10,"UP",46235133,46286297,"-",47.4,2671,NA,"minichromosome maintenance complex component 3 associated protein"
"HMGN1","21",2544.34507228411,0.72983291180613,0.19262797431943,3.78882098711098,0.000151363930466125,0.0294376788157828,"UP",39342315,39349647,"-",42.26,1303,147,"high mobility group nucleosome binding domain 1"
"TMEM50B","21",1727.27827020134,0.712461926476305,0.161988698786469,4.39821994875988,1.09142341737998e-05,0.00586325147252285,"UP",33432485,33479974,"-",43.33,695,NA,"transmembrane protein 50B"
"NDUFV3","21",2781.3587125092,0.692632139254612,0.150357190968758,4.60657807446356,4.09349408433934e-06,0.0035359017115654,"UP",42879644,42913304,"+",46.83,2029,NA,"NADH:ubiquinone oxidoreductase subunit V3"
"DIP2A","21",4649.75743175743,0.68456846040982,0.190844225912242,3.58705356233629,0.000334435645635787,0.0432548691195035,"UP",46458891,46572743,"+",44.74,7350,4716,"disco interacting protein 2 homolog A"
"ITSN1","21",16045.9072480845,0.65886945910427,0.127504666777519,5.167414462201,2.37354534270104e-07,0.000358791047866046,"UP",33642400,33899861,"+",42.47,3913,3537,"intersectin 1"
"RRP1","21",1949.5997243477,0.642638637030834,0.155176562988696,4.14133825787628,3.45285314447408e-05,0.0125233653892204,"UP",43789513,43805293,"+",57.27,588,NA,"ribosomal RNA processing 1"
"USP25","21",4700.4307728127,0.626936960222812,0.170436269278589,3.6784245681771,0.000234679074717463,0.0368568058514062,"UP",15729982,15880064,"+",35.42,3973,3168,"ubiquitin specific peptidase 25"
"PRMT2","21",5385.90308853672,0.600885498707295,0.131924582930515,4.55476519507954,5.24441251264895e-06,0.00409165680744928,"UP",46635595,46665685,"+",45.26,1878,870,"protein arginine methyltransferase 2"
"UBE2G2","21",3964.79369611874,0.59688547160641,0.121775169559632,4.9015367727665,9.50898452604327e-07,0.00114992149873441,"UP",44768580,44801826,"-",44.85,3367,498,"ubiquitin conjugating enzyme E2 G2"
"N6AMT1","21",945.936843441044,0.526214223327689,0.124628119589825,4.22227523820114,2.41848523033399e-05,0.00974891396347632,"UP",28872191,28885371,"-",38.62,4861,645,"N-6 adenine-specific DNA methyltransferase 1"
"DYRK1A","21",7364.6300515318,0.523455136785164,0.137224410057713,3.81459199981265,0.000136408112938746,0.0281046095269849,"UP",37365573,37526358,"+",39.17,2153,1815,"dual specificity tyrosine phosphorylation regulated kinase 1A"
"BRWD1","21",10681.7979699265,0.437084575121182,0.0972942243962145,4.49240001483776,7.04249848679024e-06,0.00485455938548814,"UP",39184176,39321559,"-",38.65,10141,6963,"bromodomain and WD repeat domain containing 1"
"SHISAL1","22",2819.08912244807,1.16726914829177,0.319261665297708,3.65615191289345,0.000256029665460766,0.0386789367852705,"UP",44243665,44312951,"-",53.42,6853,600,"shisa like 1"
"PRR5","22",396.677055246353,0.708693931467795,0.175513179844805,4.03783882267102,5.39458958956226e-05,0.0169446160796302,"UP",44668547,44737681,"+",56.73,1726,882,"proline rich 5"
"HIRA","22",1049.93396263827,0.638013644210114,0.151645460653552,4.20727162857658,2.58472391466621e-05,0.0100829246129221,"UP",19330698,19447450,"-",46.11,3395,2433,"histone cell cycle regulator"
"PI4KAP1","22",338.621342842849,-1.82298001880018,0.488348934460235,-3.73294562588755,0.00018925346112685,0.0339058089689926,"DOWN",18534005,18548798,"-",56.77,1703,NA,"phosphatidylinositol 4-kinase alpha pseudogene 1"
"TMEM191B","22",36.651602438246,-2.25969729226884,0.543319782522252,-4.1590557991072,3.195658338707e-05,0.0118907988584566,"DOWN",18527802,18530573,"+",67.82,1886,NA,"transmembrane protein 191B"
"XIST","X",15149.0818202357,5.02853303520998,1.39721821345923,3.59896041060067,0.000319491817296241,0.0429385396995739,"UP",73820649,73852714,"-",39.77,3266,NA,"X inactive specific transcript"
"ARX","X",958.741359548301,1.02025007570824,0.256386084842596,3.97935042510053,6.91038204385925e-05,0.0187791573160427,"UP",25003694,25016420,"-",54.62,2893,1689,"aristaless related homeobox"
"RAP2C","X",809.981132616258,-0.54638277161134,0.144257701860511,-3.78754662360876,0.00015214214222992,0.0294376788157828,"DOWN",132203024,132219480,"-",37.77,3341,354,"RAP2C, member of RAS oncogene family"
"MT-TE","MT",5391.81982912281,-1.28519856230138,0.344998365562182,-3.72523087234665,0.000195136543788874,0.0344494339275745,"DOWN",14674,14742,"-",39.13,69,NA,"mitochondrially encoded tRNA-Glu (GAA/G)"
"MT-TA","MT",1360.48793527083,-1.79790089327781,0.463536049407377,-3.87866465958018,0.000105031422715944,0.0253221529502734,"DOWN",5587,5655,"-",43.48,69,NA,"mitochondrially encoded tRNA-Ala (GCN)"
"MT-TN","MT",1080.6663981006,-2.29867937301419,0.476719096970632,-4.8218739035659,1.42215840871762e-06,0.00156346923969293,"DOWN",5657,5729,"-",41.1,73,NA,"mitochondrially encoded tRNA-Asn (AAU/C)"
"MT-TC","MT",2202.85048961145,-2.56743606863713,0.500739573131877,-5.12728812819626,2.9394548347501e-07,0.00040490301225738,"DOWN",5761,5826,"-",45.45,66,NA,"mitochondrially encoded tRNA-Cys (UGU/C)"
"MT-TY","MT",1427.3305765336,-3.04789269611048,0.537421715611475,-5.67132404138639,1.41698090079528e-08,5.71185001110577e-05,"DOWN",5826,5891,"-",42.42,66,NA,"mitochondrially encoded tRNA-Tyr (UAU/C)"
"ENSG00000282572",NA,46.2889815199724,1.96064655124197,0.53218110571497,3.68417166672593,0.000229447572786698,0.0367511191749608,"UP",NA,NA,NA,NA,NA,NA,NA
"ENSG00000230506",NA,27.8746637119156,1.34676434402997,0.363906863389497,3.70084897956018,0.000214879339140484,0.0355963814825462,"UP",NA,NA,NA,NA,NA,NA,NA
"BTBD11",NA,867.540297671394,1.02337394890415,0.289201205122839,3.53862269857924,0.000402220304274789,0.0497214712618151,"UP",NA,NA,NA,NA,NA,NA,NA
"MRM1","HSCHR17_7_CTG4",193.617751401441,0.849830260486965,0.195010132937942,4.35787744812935,1.31329882698583e-05,0.00656221695491944,"UP",837066,844472,"+",52.59,1857,1062,"mitochondrial rRNA methyltransferase 1"
