Geneid;Chr;Start;End;Strand;Length;Description
ENSG00000230506;chr20;10172522;10172786;+;978;NA
ENSG00000230521;chr6;29887294;29888268;-;975;NA
ENSG00000230534;chr10;35098006;35098122;-;1422;NA
ENSG00000230536;chr9;128090969;128091592;-;765;NA
ENSG00000230546;chr1;58084419;58084559;+;141;NA
ENSG00000230551;chr5;149494314;149499293;-;8636;NA
ENSG00000230552;chr2;176723614;176724455;-;6231;NA
ENSG00000230563;chr20;5445838;5446264;+;3007;NA
ENSG00000230569;chr2;138470656;138470748;+;826;NA
ENSG00000230575;chr10;76437408;76437550;-;381;NA
ENSG00000230612;chr5;132688681;132688700;+;1789;NA
ENSG00000230615;chr1;44030414;44030549;+;10584;NA
ENSG00000230623;chr1;200333193;200333286;+;5121;NA
ENSG00000230626;chr7;129126518;129127715;+;1345;NA
ENSG00000230627;chr6;164108620;164108761;-;448;NA
ENSG00000230628;chr1;234669523;234672990;-;3564;NA
ENSG00000230637;chr22;25327252;25327738;+;663;NA
ENSG00000230638;chr1;41542069;41544310;+;2242;NA
ENSG00000230648;chr6;4018843;4018879;-;209;NA
ENSG00000230676;chr9;129430652;129432010;-;2054;NA
ENSG00000230684;chr9;129933536;129933602;+;266;NA
ENSG00000230690;chr2;104659337;104659520;+;1648;NA
ENSG00000230696;chr2;109594693;109594996;-;610;NA
ENSG00000230699;chr1;911435;911473;+;3043;NA
ENSG00000230707;chrX;140091678;140092911;+;1234;NA
ENSG00000230718;chr1;97774669;97775026;+;358;NA
ENSG00000230725;chr20;25139652;25142310;-;5807;NA
ENSG00000230728;chr1;54621477;54621818;-;623;NA
ENSG00000230729;chr9;34521527;34521743;+;631;NA
ENSG00000230732;chr3;196912646;196913338;+;1413;NA
ENSG00000230735;chr1;89629725;89629782;+;437;NA
ENSG00000230736;chr22;32376664;32376721;+;1558;NA
ENSG00000230737;chr2;29890371;29890985;+;691;NA
ENSG00000230739;chr1;162824795;162824996;+;679;NA
ENSG00000230741;chr22;33320865;33321039;+;484;NA
ENSG00000230747;chr2;96307263;96307406;-;740;NA
ENSG00000230751;chr7;30140870;30141201;+;437;NA
ENSG00000230769;chr22;40788777;40789267;-;491;NA
ENSG00000230773;chr2;47924181;47924655;-;8057;NA
ENSG00000230782;chr9;106974833;106976654;-;2602;NA
ENSG00000230790;chr2;11740997;11741302;-;561;NA
ENSG00000230805;chr14;101071978;101072900;-;3312;NA
ENSG00000230807;chr3;27486247;27486617;+;371;NA
ENSG00000230815;chr9;94824272;94824382;+;424;NA
ENSG00000230820;chr7;126980967;126981328;+;425;NA
ENSG00000230826;chr9;123736437;123736466;+;788;NA
ENSG00000230828;chr1;50114937;50115282;+;346;NA
ENSG00000230831;chr7;36838972;36839133;+;553;NA
ENSG00000230863;chr1;75641178;75642492;-;2159;NA
ENSG00000230881;chr1;41535443;41535625;+;265;NA
ENSG00000230882;chr7;76071469;76074963;-;3495;NA
ENSG00000230894;chr9;116567636;116567862;+;5550;NA
ENSG00000230896;chr1;45694684;45694967;-;598;NA
ENSG00000230898;chr1;166147782;166147959;-;484;NA
ENSG00000230912;chr22;38666508;38666736;-;410;NA
ENSG00000230922;chr22;45000565;45001286;-;1633;NA
ENSG00000230928;chr10;98252023;98252202;+;1168;NA
ENSG00000230929;chr5;126628019;126628319;-;301;NA
ENSG00000230947;chr22;24598054;24598206;+;364;NA
ENSG00000230953;chr1;52920422;52920596;+;175;NA
ENSG00000230960;chr6;170166228;170167109;-;3786;NA
ENSG00000230967;chr10;101322485;101322762;-;522;NA
ENSG00000230979;chr2;47690716;47691246;-;531;NA
ENSG00000231010;chr22;46055740;46056515;-;1181;NA
ENSG00000231011;chrX;22616744;22617143;-;400;NA
ENSG00000231024;chr2;69700192;69700375;-;420;NA
ENSG00000231043;chr2;58460292;58462032;-;1741;NA
ENSG00000231054;chr2;45168583;45168877;+;553;NA
ENSG00000231062;chr2;95051395;95051857;-;597;NA
ENSG00000231069;chrX;36840649;36840850;-;945;NA
ENSG00000231073;chr1;150973123;150973169;+;368;NA
ENSG00000231092;chr2;216259595;216259768;+;784;NA
ENSG00000231098;chr7;134284500;134284713;+;414;NA
ENSG00000231102;chr6;41720396;41720688;+;408;NA
ENSG00000231104;chr10;118017487;118017649;+;2085;NA
ENSG00000231114;chr7;137318592;137318857;+;1890;NA
ENSG00000231119;chr20;47352561;47352740;+;1809;NA
ENSG00000231125;chr21;29058073;29058192;-;794;NA
ENSG00000231128;chr1;113812379;113812612;+;2224;NA
ENSG00000231132;chr10;51244894;51245135;-;446;NA
ENSG00000231138;chr10;123776670;123777113;+;806;NA
ENSG00000231173;chr2;741977;742109;+;256;NA
ENSG00000231181;chr1;9576427;9576985;+;559;NA
ENSG00000231188;chr10;100335563;100335764;-;471;NA
ENSG00000231201;chr21;14971470;14971569;+;824;NA
ENSG00000231204;chr2;21317660;21317813;+;3326;NA
ENSG00000231227;chr9;124010530;124010829;+;460;NA
ENSG00000231252;chr1;60659631;60661470;-;4379;NA
ENSG00000231255;chr7;86775081;86775271;-;269;NA
ENSG00000231272;chr1;234261706;234261859;+;452;NA
ENSG00000231295;chr7;120746738;120746906;-;547;NA
ENSG00000231305;chr3;128860620;128861922;-;2149;NA
ENSG00000231324;chr21;36632681;36633570;-;1133;NA
ENSG00000231329;chr6;139144204;139144614;-;5149;NA
ENSG00000231336;chr2;46166789;46166963;-;364;NA
ENSG00000231355;chr21;33482499;33482588;-;666;NA
ENSG00000231357;chr7;2835621;2836022;+;402;NA
ENSG00000231359;chr7;6490793;6491098;-;306;NA
ENSG00000231362;chr3;13052967;13053122;-;156;NA
ENSG00000231369;chr22;26886909;26887316;-;578;NA
ENSG00000231384;chr3;172680714;172681224;+;511;NA
ENSG00000231393;chr9;35642514;35642554;+;679;NA
ENSG00000231401;chr3;8359344;8359517;-;2616;NA
ENSG00000231405;chr22;27143478;27143529;+;473;NA
ENSG00000231409;chr15;34943080;34943394;+;315;NA
ENSG00000231416;chr1;153995632;153995960;+;329;NA
ENSG00000231424;chr1;170748573;170750097;-;7896;NA
ENSG00000231443;chr3;195937243;195938174;+;1242;NA
ENSG00000231449;chr3;37196204;37196666;+;463;NA
ENSG00000231460;chr9;23829670;23830274;+;1430;NA
ENSG00000231464;chr3;195996738;195997654;+;1242;NA
ENSG00000231466;chr22;25349543;25350322;-;780;NA
ENSG00000231482;chr2;1366234;1367493;-;2569;NA
ENSG00000231496;chr10;10960148;10960363;+;540;NA
ENSG00000231509;chr9;5584490;5584845;+;758;NA
ENSG00000231515;chr7;157739010;157739451;-;613;NA
ENSG00000231519;chr7;30069658;30069806;-;518;NA
ENSG00000231521;chr9;97634515;97634631;-;285;NA
ENSG00000231530;chr13;42043727;42043948;-;363;NA
ENSG00000231533;chr6;79420172;79420404;+;11829;NA
ENSG00000231536;chr2;110610916;110611195;+;747;NA
ENSG00000231557;chr2;198882573;198883014;-;556;NA
ENSG00000231559;chr6;108817680;108817926;+;247;NA
ENSG00000231563;chr1;228407196;228407478;+;1359;NA
ENSG00000231585;chr5;132011448;132011545;+;459;NA
ENSG00000231589;chr16;62596372;62596564;+;558;NA
ENSG00000231597;chr2;216854389;216854807;-;583;NA
ENSG00000231606;chr1;14221887;14222107;-;1549;NA
ENSG00000231612;chr1;245673732;245673905;-;447;NA
ENSG00000231615;chr1;173362397;173363733;-;1337;NA
ENSG00000231616;chr9;83831586;83831612;+;4162;NA
ENSG00000231628;chr6;105279016;105279078;+;1198;NA
ENSG00000231691;chr1;204276901;204277105;+;1484;NA
ENSG00000231699;chr2;197533803;197533965;+;163;NA
ENSG00000231703;chr20;53397661;53400487;-;3280;NA
ENSG00000231704;chr7;6080704;6081270;+;1538;NA
ENSG00000231713;chr21;39727755;39727992;+;1786;NA
ENSG00000231720;chr6;167237508;167237805;-;579;NA
ENSG00000231724;chr3;186807692;186807886;+;540;NA
ENSG00000231731;chr2;127455394;127455770;+;5510;NA
ENSG00000231740;chr1;58838448;58838688;-;395;NA
ENSG00000231741;chr9;85934588;85935104;+;1468;NA
ENSG00000231744;chr9;124598707;124599157;-;607;NA
ENSG00000231747;chr2;112621809;112622167;-;359;NA
ENSG00000231754;chr6;21521671;21523845;-;2175;NA
ENSG00000231760;chr6;149796151;149797439;-;2117;NA
ENSG00000231769;chr6;46096004;46097346;-;1979;NA
ENSG00000231794;chr7;135198401;135199715;+;2503;NA
ENSG00000231804;chr9;88484852;88485325;-;474;NA
ENSG00000231811;chr6;4341751;4344849;-;3730;NA
ENSG00000231827;chr1;153793937;153794205;+;2577;NA
ENSG00000231829;chr10;95109136;95110596;-;1634;NA
ENSG00000231856;chr13;51803838;51805630;+;2469;NA
ENSG00000231859;chr7;97906429;97906822;+;394;NA
ENSG00000231863;chr6;160931080;160931372;+;4057;NA
ENSG00000231875;chrX;81363268;81364170;+;903;NA
ENSG00000231881;chr6;44058792;44074882;+;26394;NA
ENSG00000231901;chr9;117840322;117840610;-;625;NA
ENSG00000231903;chr2;202178660;202178848;-;311;NA
ENSG00000231906;chr10;48546472;48546713;-;242;NA
ENSG00000231918;chr2;51032601;51033016;+;3939;NA
ENSG00000231964;chr10;45444570;45444852;-;462;NA
ENSG00000231965;chr8;11175051;11175570;+;520;NA
ENSG00000231967;chr9;5356312;5356525;-;214;NA
ENSG00000231970;chr10;97401115;97401373;+;548;NA
ENSG00000231977;chr20;63166013;63167150;-;1418;NA
ENSG00000231980;chr7;158027373;158027476;+;3600;NA
ENSG00000231982;chr3;186826549;186826640;+;330;NA
ENSG00000231985;chr1;71570956;71571000;+;170;NA
ENSG00000231992;chr1;95120147;95120286;+;420;NA
ENSG00000232006;chr7;42954135;42954485;-;5143;NA
ENSG00000232009;chrX;47389961;47390414;-;1005;NA
ENSG00000232027;chr1;51372270;51373224;+;955;NA
ENSG00000232034;chr2;100822661;100822802;+;717;NA
ENSG00000232036;chr1;184566511;184567835;+;1325;NA
ENSG00000232037;chr1;21908098;21908580;+;483;NA
ENSG00000232043;chr20;50570975;50575013;-;4587;NA
ENSG00000232053;chr7;136092913;136093036;+;3273;NA
ENSG00000232057;chr2;1824412;1826097;+;3403;NA
ENSG00000232059;chr1;244694432;244694720;-;289;NA
ENSG00000232063;chr9;94332459;94332988;+;4244;NA
ENSG00000232085;chr1;243164638;243164666;+;488;NA
ENSG00000232097;chr7;97938439;97938794;-;356;NA
ENSG00000232110;chr10;89283636;89283891;+;2907;NA
ENSG00000232124;chr21;44200602;44201957;-;2114;NA
ENSG00000232166;chr1;234284972;234285541;+;570;NA
ENSG00000232174;chr5;138620329;138620964;+;636;NA
ENSG00000232175;chr1;232917235;232918018;+;784;NA
ENSG00000232176;chr9;19200335;19201046;-;712;NA
ENSG00000232184;chr1;243702857;243703045;-;389;NA
ENSG00000232194;chr1;167820406;167820561;+;718;NA
ENSG00000232218;chr22;32386668;32386868;+;201;NA
ENSG00000232234;chr6;8102711;8102852;+;4624;NA
ENSG00000232259;chr10;127929376;127929681;-;748;NA
ENSG00000232294;chr20;52671735;52671842;+;3293;NA
ENSG00000232295;chr6;71221457;71221554;-;5169;NA
ENSG00000232309;chr1;182127297;182127927;-;1019;NA
ENSG00000232327;chr4;80386178;80388716;-;2539;NA
ENSG00000232334;chr10;124004304;124004828;-;525;NA
ENSG00000232342;chr10;74506081;74506593;-;1230;NA
ENSG00000232344;chr17;18010643;18010938;+;853;NA
ENSG00000232346;chr22;32039490;32039896;+;407;NA
ENSG00000232347;chr1;247210691;247210993;-;706;NA
ENSG00000232360;chr21;32844367;32844710;-;384;NA
ENSG00000232363;chr22;45435864;45436035;-;545;NA
ENSG00000232375;chr3;43037121;43037451;+;331;NA
ENSG00000232377;chr2;143937073;143937636;+;1046;NA
ENSG00000232386;chr15;100849561;100849910;+;1479;NA
ENSG00000232389;chr6;70608234;70609334;-;1101;NA
ENSG00000232411;chr2;165833048;165833215;-;506;NA
ENSG00000232448;chr20;10172701;10172786;+;1570;NA
ENSG00000232450;chr1;113698884;113699631;-;748;NA
ENSG00000232451;chr2;23018125;23018255;-;1765;NA
ENSG00000232454;chr9;37836044;37836394;+;351;NA
ENSG00000232456;chr1;16035178;16035458;-;704;NA
ENSG00000232463;chr1;176231200;176231830;-;631;NA
ENSG00000232482;chr1;23410832;23411128;+;426;NA
ENSG00000232499;chr1;113449700;113450728;+;1029;NA
ENSG00000232514;chr1;48497263;48497736;-;474;NA
ENSG00000232518;chr2;38668202;38668761;-;1086;NA
ENSG00000232519;chr1;155609776;155609892;-;220;NA
ENSG00000232528;chr20;1767957;1768066;-;1564;NA
ENSG00000232536;chr1;151540516;151540909;+;526;NA
ENSG00000232545;chr22;24101689;24101737;+;558;NA
ENSG00000232546;chr7;66848496;66848561;+;298;NA
ENSG00000232555;chr2;172137345;172137459;+;2561;NA
ENSG00000232578;chr5;94592771;94594791;+;2021;NA
ENSG00000232599;chrX;125203805;125204338;-;534;NA
ENSG00000232611;chrX;136840931;136842850;-;3018;NA
ENSG00000232615;chr5;1614836;1614954;+;1075;NA
ENSG00000232626;chr1;202438396;202439566;+;1562;NA
ENSG00000232628;chr1;224208741;224209011;-;1341;NA
ENSG00000232633;chr5;113323028;113323273;+;4194;NA
ENSG00000232642;chr2;24165884;24166039;-;1190;NA
ENSG00000232646;chr10;73065126;73065186;+;214;NA
ENSG00000232667;chr7;80312574;80312726;-;3819;NA
ENSG00000232675;chr20;19693209;19693462;-;2464;NA
ENSG00000232680;chr19;35432957;35433102;-;1000;NA
ENSG00000232682;chr10;60050668;60050729;+;1608;NA
ENSG00000232692;chr21;26378552;26378704;+;2247;NA
ENSG00000232693;chr2;65373700;65373836;-;530;NA
ENSG00000232696;chr2;46078015;46078369;-;464;NA
ENSG00000232710;chr22;42136433;42136664;-;667;NA
ENSG00000232716;chr7;130840204;130841078;-;1723;NA
ENSG00000232719;chr2;201101382;201101885;+;1269;NA
ENSG00000232721;chr1;143735983;143736123;+;2758;NA
ENSG00000232732;chr2;199867396;199867968;-;6871;NA
ENSG00000232736;chr7;35768122;35768640;-;519;NA
ENSG00000232738;chr20;9575608;9575742;+;465;NA
ENSG00000232739;chr10;15237492;15237664;+;794;NA
ENSG00000232748;chr16;31056460;31056725;+;3593;NA
ENSG00000232750;chr1;179035309;179035652;-;344;NA
ENSG00000232751;chr1;173351689;173352004;+;316;NA
ENSG00000232754;chr22;41169190;41169404;-;357;NA
ENSG00000232762;chr1;53304536;53304625;+;752;NA
ENSG00000232768;chr1;31050872;31051034;+;163;NA
ENSG00000232774;chr14;61570405;61570760;+;2861;NA
ENSG00000232807;chr10;5934270;5937509;-;3912;NA
ENSG00000232811;chr1;110943467;110945160;+;2359;NA
ENSG00000232821;chr7;19112474;19112667;+;1711;NA
ENSG00000232828;chrX;48698963;48699162;-;925;NA
ENSG00000232855;chr21;28328738;28329794;-;9437;NA
ENSG00000232862;chr1;36080066;36081511;-;1674;NA
ENSG00000232867;chr9;27210327;27210626;+;300;NA
ENSG00000232876;chr6;135055033;135055486;+;790;NA
ENSG00000232884;chr21;14676689;14677080;-;6368;NA
ENSG00000232887;chr7;31119284;31119572;-;289;NA
ENSG00000232891;chr6;150600834;150600883;+;378;NA
ENSG00000232896;chr9;110599475;110599528;+;635;NA
ENSG00000232909;chr6;35733867;35734027;-;669;NA
ENSG00000232926;chr22;19887289;19887970;+;682;NA
ENSG00000232934;chr10;112395813;112396400;-;3256;NA
ENSG00000232939;chr9;109760350;109760620;-;757;NA
ENSG00000232949;chr7;22589698;22589801;+;2141;NA
ENSG00000232952;chr1;105891739;105893517;+;1779;NA
ENSG00000232959;chr1;170024077;170024283;+;341;NA
ENSG00000232978;chr9;19291337;19291443;-;409;NA
ENSG00000232986;chr13;33657436;33657471;+;382;NA
ENSG00000233005;chr2;21221169;21221294;+;1018;NA
ENSG00000233021;chr10;437561;437915;+;558;NA
ENSG00000233028;chr7;56175634;56176412;+;779;NA
ENSG00000233029;chr1;121090289;121092768;-;3543;NA
ENSG00000233030;chr1;149785659;149788138;-;3543;NA
ENSG00000233044;chr6;157107727;157108016;-;423;NA
ENSG00000233064;chr6;5851506;5851662;+;411;NA
ENSG00000233099;chr1;77346046;77346266;-;377;NA
ENSG00000233114;chr1;46104950;46105175;+;226;NA
ENSG00000233133;chr3;17706058;17706233;-;176;NA
ENSG00000233144;chr10;73381433;73381577;+;401;NA
ENSG00000233157;chr22;43759199;43759910;-;712;NA
ENSG00000233170;chr8;37747338;37748004;-;667;NA
ENSG00000233178;chr9;68393881;68394439;-;4007;NA
ENSG00000233183;chr6;33891327;33891401;+;14585;NA
ENSG00000233191;chr7;157513294;157513337;+;1582;NA
ENSG00000233196;chr1;186580515;186581191;-;677;NA
ENSG00000233216;chr1;58228682;58229003;-;322;NA
ENSG00000233223;chr17;7581964;7582160;-;1995;NA
ENSG00000233230;chr2;47905678;47905799;+;1587;NA
ENSG00000233242;chr9;37112548;37113255;-;2161;NA
ENSG00000233251;chr2;56173534;56176150;-;4369;NA
ENSG00000233264;chr7;7980312;7980377;+;1469;NA
ENSG00000233268;chr1;9660828;9660918;-;421;NA
ENSG00000233287;chr7;131242590;131242995;+;406;NA
ENSG00000233288;chr7;56528253;56528948;-;4892;NA
ENSG00000233290;chr1;82212413;82215772;-;7240;NA
ENSG00000233293;chr20;32561093;32561179;+;469;NA
ENSG00000233330;chr6;149591755;149592044;-;340;NA
ENSG00000233332;chr1;234212606;234214107;-;1723;NA
ENSG00000233339;chr2;106179542;106179592;+;433;NA
ENSG00000233340;chr10;112671812;112671944;-;358;NA
ENSG00000233342;chr6;160926269;160926312;+;1287;NA
ENSG00000233351;chr6;129479615;129479855;-;391;NA
ENSG00000233359;chr1;102199739;102199997;-;1734;NA
ENSG00000233363;chr7;154092201;154092917;-;3044;NA
ENSG00000233367;chr9;6415145;6415563;-;638;NA
ENSG00000233393;chr21;36104881;36105123;+;2352;NA
ENSG00000233406;chr1;51250603;51251472;-;870;NA
ENSG00000233420;chr7;88420167;88420257;+;4119;NA
ENSG00000233423;chr7;67691058;67691525;-;575;NA
ENSG00000233427;chr1;28870483;28871002;-;1085;NA
ENSG00000233451;chr10;22361172;22361421;+;469;NA
ENSG00000233461;chr1;231520729;231522637;-;4472;NA
ENSG00000233478;chr1;25644544;25646420;-;2224;NA
ENSG00000233479;chr2;113669166;113669201;+;607;NA
ENSG00000233491;chr7;81489204;81489566;-;7498;NA
ENSG00000233492;chr20;21530122;21530225;+;2000;NA
ENSG00000233511;chr6;108252214;108252400;+;187;NA
ENSG00000233514;chr1;44122153;44122512;-;360;NA
ENSG00000233517;chr7;28987028;28987109;+;578;NA
ENSG00000233519;chr1;240400671;240400862;-;316;NA
ENSG00000233538;chr2;231452195;231452262;+;568;NA
ENSG00000233542;chr1;2013213;2015000;-;2063;NA
ENSG00000233547;chr10;112950646;112951007;-;460;NA
ENSG00000233553;chr2;1341044;1341699;-;850;NA
ENSG00000233569;chr9;117643151;117643298;+;1462;NA
ENSG00000233577;chr22;25279529;25279695;-;593;NA
ENSG00000233581;chr2;216303325;216303659;+;575;NA
ENSG00000233583;chr1;185262286;185262514;-;1152;NA
ENSG00000233597;chr3;142043623;142044198;-;576;NA
ENSG00000233625;chr20;17887363;17887804;-;632;NA
ENSG00000233633;chr2;558153;558277;+;3573;NA
ENSG00000233635;chr17;63193930;63194070;-;656;NA
ENSG00000233651;chr9;62387171;62387510;-;3325;NA
ENSG00000233665;chr10;48976554;48977100;-;1945;NA
ENSG00000233668;chr9;34223984;34224628;-;645;NA
ENSG00000233674;chr1;43743471;43743741;+;271;NA
ENSG00000233683;chr7;101388868;101389080;-;213;NA
ENSG00000233708;chr1;42886597;42887315;-;1962;NA
ENSG00000233735;chr1;240177839;240178097;-;497;NA
ENSG00000233739;chr22;38057180;38057517;-;414;NA
ENSG00000233757;chr2;95207521;95207834;+;10554;NA
ENSG00000233760;chr7;26551686;26552210;+;3407;NA
ENSG00000233775;chr1;32349194;32349821;-;687;NA
ENSG00000233783;chr21;25928754;25928997;+;3416;NA
ENSG00000233785;chrX;23772992;23773510;-;672;NA
ENSG00000233799;chr4;764487;764609;-;286;NA
ENSG00000233817;chr9;113619228;113619411;+;3043;NA
ENSG00000233820;chr9;96725890;96726250;+;1488;NA
ENSG00000233825;chr10;32346499;32346536;+;383;NA
ENSG00000233845;chr2;47035279;47035625;-;504;NA
ENSG00000233848;chr6;20756103;20756201;-;614;NA
ENSG00000233850;chr2;95025193;95025425;-;478;NA
ENSG00000233852;chr17;13932720;13932990;-;405;NA
ENSG00000233862;chr2;30051066;30051308;-;4430;NA
ENSG00000233877;chr1;64941979;64942365;+;387;NA
ENSG00000233884;chr9;87848113;87848698;-;1065;NA
ENSG00000233891;chr2;59238703;59238901;-;5162;NA
ENSG00000233894;chr1;74468195;74468549;+;905;NA
ENSG00000233902;chr6;31462728;31463336;-;609;NA
ENSG00000233912;chr3;5156905;5157023;-;672;NA
ENSG00000233920;chr1;229223457;229223950;-;1223;NA
ENSG00000233928;chrX;33726337;33726635;+;14444;NA
ENSG00000233936;chr9;135245696;135246234;-;886;NA
ENSG00000233953;chr2;60495686;60495762;+;432;NA
ENSG00000233967;chr6;80441295;80443538;+;6270;NA
ENSG00000233968;chr10;19686127;19686434;-;5651;NA
ENSG00000233969;chr7;120166443;120166575;+;889;NA
ENSG00000233974;chr5;21481327;21484011;-;2685;NA
ENSG00000233981;chr6;14004920;14004980;+;386;NA
ENSG00000234017;chr10;112548632;112548872;-;241;NA
ENSG00000234019;chrX;53093710;53093749;-;615;NA
ENSG00000234021;chr9;8936079;8936179;+;572;NA
ENSG00000234026;chr10;95228243;95228426;-;663;NA
ENSG00000234042;chr9;63703065;63703755;+;691;NA
ENSG00000234050;chrX;102937770;102938306;-;628;NA
ENSG00000234073;chr3;36880184;36880729;-;546;NA
ENSG00000234080;chr1;50326131;50327007;+;877;NA
ENSG00000234083;chr21;27954922;27955023;+;572;NA
ENSG00000234084;chr6;135301568;135301690;+;577;NA
ENSG00000234085;chr7;57654822;57655392;+;571;NA
ENSG00000234089;chr7;57209865;57210135;-;2910;NA
ENSG00000234091;chr10;13729383;13729512;+;474;NA
ENSG00000234104;chr20;20970448;20970548;+;512;NA
ENSG00000234134;chr10;125718771;125718981;-;300;NA
ENSG00000234136;chr3;197830685;197830897;-;473;NA
ENSG00000234139;chr20;36051491;36051731;+;4002;NA
ENSG00000234141;chr7;7949853;7950506;-;692;NA
ENSG00000234147;chr6;140575812;140576557;-;9499;NA
ENSG00000234149;chr10;75003055;75003178;-;189;NA
ENSG00000234156;chr9;122403407;122403456;+;6010;NA
ENSG00000234160;chr9;37509150;37509380;+;289;NA
ENSG00000234162;chr2;105874509;105874736;-;1273;NA
ENSG00000234173;chr10;54486230;54486316;+;2300;NA
ENSG00000234174;chr2;113171535;113172025;-;1074;NA
ENSG00000234175;chr10;13139196;13139533;-;338;NA
ENSG00000234185;chr7;66119603;66119742;-;404;NA
ENSG00000234203;chr17;4972851;4972967;+;439;NA
ENSG00000234206;chr6;107509803;107509865;-;604;NA
ENSG00000234208;chr22;29513889;29514016;-;289;NA
ENSG00000234210;chr7;157466231;157468546;+;4049;NA
ENSG00000234241;chr20;6213699;6215381;+;1683;NA
ENSG00000234255;chr2;65439838;65440085;-;2736;NA
ENSG00000234259;chr5;119680197;119681080;+;884;NA
ENSG00000234261;chr6;14660285;14662293;-;6709;NA
ENSG00000234268;chr11;117035797;117036051;-;255;NA
ENSG00000234271;chr20;43523261;43523572;-;312;NA
ENSG00000234282;chr20;1722045;1722537;-;493;NA
ENSG00000234286;chr7;23679601;23680842;-;1242;NA
ENSG00000234287;chr3;40761545;40761799;+;255;NA
ENSG00000234306;chr10;10365180;10365249;-;335;NA
ENSG00000234311;chr10;132433733;132434691;-;1013;NA
ENSG00000234318;chr1;62896009;62896109;+;447;NA
ENSG00000234337;chr16;52655307;52656045;+;739;NA
ENSG00000234338;chr7;64835280;64836882;-;1603;NA
ENSG00000234352;chr7;136685559;136685841;-;6913;NA
ENSG00000234353;chr22;23638492;23638942;-;906;NA
ENSG00000234361;chr6;157829143;157829442;-;681;NA
ENSG00000234389;chr2;102438713;102438795;+;1327;NA
ENSG00000234393;chr10;113710681;113711009;-;692;NA
ENSG00000234405;chrX;103486461;103486583;+;1935;NA
ENSG00000234418;chr7;122144405;122144496;+;5186;NA
ENSG00000234428;chr12;26623369;26623402;+;876;NA
ENSG00000234446;chr2;221609324;221609437;+;1387;NA
ENSG00000234450;chr7;156633355;156633787;+;433;NA
ENSG00000234459;chr7;90266034;90266166;-;289;NA
ENSG00000234460;chr9;87864096;87864349;+;756;NA
ENSG00000234471;chr7;484107;484199;-;420;NA
ENSG00000234500;chr7;66511556;66511650;+;712;NA
ENSG00000234504;chr10;44899614;44900525;-;1444;NA
ENSG00000234521;chr2;74407797;74407985;-;982;NA
ENSG00000234537;chr9;92132398;92132457;+;1863;NA
ENSG00000234567;chr6;133452857;133453046;-;317;NA
ENSG00000234584;chr2;157725708;157726190;-;545;NA
ENSG00000234589;chr12;3071532;3072145;-;614;NA
ENSG00000234607;chr1;15969632;15970194;+;563;NA
ENSG00000234624;chr2;61416887;61417197;-;311;NA
ENSG00000234626;chr22;32327064;32327437;-;687;NA
ENSG00000234630;chr22;22293733;22294081;+;524;NA
ENSG00000234648;chr14;98973314;98973471;+;158;NA
ENSG00000234675;chr6;148017422;148017565;-;446;NA
ENSG00000234699;chr10;103452846;103453236;+;657;NA
ENSG00000234718;chr7;7738524;7738984;-;1496;NA
ENSG00000234740;chr9;13274510;13274610;-;457;NA
ENSG00000234742;chr3;197850400;197850954;-;555;NA
ENSG00000234750;chr19;12284337;12285185;+;849;NA
ENSG00000234751;chr11;72940498;72941112;+;615;NA
ENSG00000234758;chr5;131944408;131944524;+;562;NA
ENSG00000234773;chr19;12195015;12195143;+;3205;NA
ENSG00000234775;chr1;203115468;203117902;-;3051;NA
ENSG00000234784;chr1;64918443;64918683;+;241;NA
ENSG00000234789;chr9;129640476;129640745;+;470;NA
ENSG00000234791;chr11;3189546;3189618;+;293;NA
ENSG00000234810;chr1;55329288;55329425;+;8481;NA
ENSG00000234818;chr2;10589166;10589305;+;565;NA
ENSG00000234826;chr7;117998858;117999138;-;435;NA
ENSG00000234841;chr4;112826307;112827607;+;1301;NA
ENSG00000234848;chr19;12450935;12451302;+;695;NA
ENSG00000234860;chr9;99531507;99531812;+;1169;NA
ENSG00000234891;chr22;34703126;34703423;-;768;NA
ENSG00000234902;chr2;207186717;207186988;-;1095;NA
ENSG00000234913;chr22;18004270;18006615;-;2493;NA
ENSG00000234915;chr1;212299495;212299625;-;387;NA
ENSG00000234917;chr1;42678735;42678869;+;601;NA
ENSG00000234921;chr9;124031624;124031873;-;581;NA
ENSG00000234929;chr2;2638178;2642400;-;6060;NA
ENSG00000234936;chr2;43229573;43229616;+;398;NA
ENSG00000234937;chr1;155845367;155846234;+;941;NA
ENSG00000234943;chr2;54545368;54545537;-;377;NA
ENSG00000234953;chr1;81513880;81514045;-;643;NA
ENSG00000234961;chr10;17233325;17233898;-;706;NA
ENSG00000234977;chr7;1691906;1692204;-;454;NA
ENSG00000234998;chr1;121087528;121087911;-;459;NA
ENSG00000235002;chr1;42412398;42412794;-;397;NA
ENSG00000235008;chr6;166701094;166702839;-;1746;NA
ENSG00000235018;chr20;62037429;62037956;-;528;NA
ENSG00000235020;chr10;18206127;18206794;-;5986;NA
ENSG00000235021;chr1;246690047;246690214;+;522;NA
ENSG00000235023;chr21;42648271;42650443;-;2854;NA
ENSG00000235027;chr11;1760348;1761194;+;2015;NA
ENSG00000235035;chr2;70687142;70687358;+;434;NA
ENSG00000235036;chr20;10612861;10614229;-;1369;NA
ENSG00000235038;chr1;58060139;58060307;+;620;NA
